sheet1,sheet2,count
东湖新技术开发区,东湖新技术开发区,4
东湖新技术开发区,咸安区,1
东湖新技术开发区,大冶市,1
东湖新技术开发区,天门市,1
东湖新技术开发区,武昌区,1
东湖新技术开发区,江夏区,3
东湖新技术开发区,洪山区,1
东湖新技术开发区,经开区,7
东西湖区,东湖新技术开发区,1
东西湖区,东西湖区,9
东西湖区,武昌区,1
东西湖区,汉阳区,1
东西湖区,江汉区,1
东西湖区,硚口区,1
东西湖区,经开区,1
云梦县,云梦县,8
云梦县,孝昌县,2
云梦县,硚口区,1
云梦县,经开区,2
仙桃市,仙桃市,11
仙桃市,蔡甸区,1
咸安区,东西湖区,1
咸安区,咸安区,2
嘉鱼县,嘉鱼县,2
大冶市,大冶市,2
天门市,天门市,4
天门市,黄陂区,1
孝南区,东湖新技术开发区,1
孝南区,孝南区,4
新洲区,团风县,1
新洲区,新洲区,2
武昌区,武昌区,1
武昌区,江夏区,1
武昌区,江汉区,1
武昌区,洪山区,1
武昌区,硚口区,1
武昌区,经开区,1
武昌区,鄂州市,1
汉阳区,东西湖区,4
汉阳区,武昌区,1
汉阳区,汉阳区,10
汉阳区,洪山区,1
汉阳区,经开区,5
江夏区,东湖新技术开发区,1
江夏区,武昌区,1
江夏区,江夏区,5
江岸区,武昌区,1
江岸区,江岸区,7
江岸区,江汉区,1
江岸区,硚口区,1
江岸区,经开区,3
江汉区,江汉区,2
洪山区,东湖新技术开发区,1
洪山区,洪山区,3
浠水县,东湖新技术开发区,1
浠水县,洪山区,1
浠水县,浠水县,1
硚口区,东西湖区,2
硚口区,汉阳区,2
硚口区,江岸区,1
硚口区,江汉区,1
硚口区,硚口区,13
硚口区,经开区,4
硚口区,黄陂区,1
经开区, ,1
经开区,东湖新技术开发区,7
经开区,东西湖区,1
经开区,仙桃市,1
经开区,咸安区,1
经开区,孝南区,1
经开区,武昌区,7
经开区,汉阳区,5
经开区,江夏区,2
经开区,江岸区,2
经开区,江汉区,1
经开区,洪山区,4
经开区,硚口区,1
经开区,经开区,128
经开区,蔡甸区,8
经开区,鄂州市,1
经开区,青山区,1
经开区,黄州区,1
经开区,黄石市区,1
经开区,黄陂区,1
蔡甸区,汉阳区,1
蔡甸区,洪山区,1
蔡甸区,经开区,4
蔡甸区,蔡甸区,14
鄂州市,鄂州市,1
青山区,青山区,2
黄州区,仙桃市,1
黄州区,团风县,1
黄州区,黄州区,2
黄石市区,大冶市,3
黄石市区,黄石市区,4
