sheet1,sheet2,count
东湖新技术开发区,东湖新技术开发区,71
东湖新技术开发区,东西湖区,4
东湖新技术开发区,武昌区,33
东湖新技术开发区,汉阳区,1
东湖新技术开发区,江岸区,5
东湖新技术开发区,洪山区,5
东湖新技术开发区,经开区,3
东湖新技术开发区,蔡甸区,1
东西湖区,东西湖区,3
东西湖区,江岸区,1
东西湖区,洪山区,4
云梦县,云梦县,4
咸安区,咸安区,1
大冶市,大冶市,2
孝南区,大冶市,5
孝南区,孝南区,6
孝南区,汉川市,4
新洲区,新洲区,2
新洲区,武昌区,1
武昌区,东湖新技术开发区,5
武昌区,东西湖区,1
武昌区,武昌区,8
武昌区,江岸区,1
武昌区,洪山区,2
武昌区,黄石市区,4
汉阳区,武昌区,1
江夏区,东湖新技术开发区,2
江夏区,新洲区,2
江夏区,经开区,3
江岸区,东湖新技术开发区,31
江岸区,江岸区,11
江岸区,江汉区,1
江岸区,洪山区,4
江岸区,硚口区,19
江岸区,经开区,3
江岸区,蔡甸区,11
江汉区,汉川市,1
江汉区,江汉区,1
洪山区,东湖新技术开发区,9
洪山区,东西湖区,2
洪山区,武昌区,6
洪山区,汉川市,1
洪山区,汉阳区,5
洪山区,江夏区,19
洪山区,江岸区,4
洪山区,洪山区,26
洪山区,硚口区,3
洪山区,黄陂区,1
硚口区,硚口区,1
经开区,东湖新技术开发区,6
经开区,汉阳区,5
经开区,江岸区,8
经开区,经开区,132
蔡甸区,东湖新技术开发区,7
蔡甸区,东西湖区,11
蔡甸区,江岸区,5
蔡甸区,洪山区,2
蔡甸区,经开区,3
蔡甸区,蔡甸区,4
青山区,东湖新技术开发区,1
青山区,青山区,40
黄州区,黄州区,1
黄石市区,黄石市区,1
黄石市区,黄陂区,2
黄陂区,江岸区,3
黄陂区,黄陂区,8
